User_Login,User_Code,Up_To_Semester,Term_ID,Major_ID,Campus,Value,Total_Grade,Total_Credit,Average_Grade
sonnhpf15001,PF15001,2,30,1,ph,1,219.9,30,7.33000
manhntpf15005,PF15005,2,30,1,ph,1,193.8,27,7.17778
duongpvpf15007,PF15007,1,30,1,ph,1,87.0,12,7.25000
totndpf15013,PF15013,2,30,1,ph,1,167.4,24,6.97500
khanhtdpf15019,PF15019,2,30,1,ph,1,230.1,30,7.67000
thangdcpf15028,PF15028,2,30,1,ph,1,247.2,30,8.24000
tacpdpf15029,PF15029,2,30,1,ph,1,221.7,30,7.39000
namhhpf15030,PF15030,2,30,1,ph,1,255.3,30,8.51000
huytvpf15031,PF15031,2,30,1,ph,1,167.1,24,6.96250
phuongndpf15035,PF15035,2,30,1,ph,1,183.3,27,6.78889
truongbdpf15046,PF15046,1,30,1,ph,1,90.0,12,7.50000
quanndpf15050,PF15050,2,30,1,ph,1,117.3,18,6.51667
manhtdpf15051,PF15051,2,30,1,ph,1,145.2,21,6.91429
quangnhtpf15055,PF15055,2,30,1,ph,1,227.1,30,7.57000
hungnkpf15057,PF15057,1,30,1,ph,1,42.0,6,7.00000
tienlmpf15064,PF15064,1,30,1,ph,1,62.1,9,6.90000
cuongdmpf15069,PF15069,1,30,1,ph,1,111.3,15,7.42000
tholmpf15070,PF15070,1,30,1,ph,1,58.2,9,6.46667
tiennnpf15083,PF15083,2,30,1,ph,1,114.3,18,6.35000
hanhtpf15092,PF15092,2,30,1,ph,1,103.2,15,6.88000
thanhncpf15093,PF15093,1,30,1,ph,1,81.9,12,6.82500
duongnvpf15098,PF15098,2,30,1,ph,1,203.4,30,6.78000
doctpf15102,PF15102,2,30,1,ph,1,200.1,27,7.41111
anhltpf15104,PF15104,1,30,1,ph,1,95.1,12,7.92500
vinhntpf15121,PF15121,1,30,1,ph,1,98.4,15,6.56000
truongnxpf15127,PF15127,1,30,1,ph,1,84.3,12,7.02500
cuongndpf15142,PF15142,2,30,1,ph,1,256.5,30,8.55000
thangphpf15145,PF15145,1,30,1,ph,1,84.9,12,7.07500
trungmqpf15149,PF15149,2,30,1,ph,1,211.8,30,7.06000
hungnvpf15158,PF15158,1,30,1,ph,1,66.6,9,7.40000
sonlhpf15165,PF15165,1,30,1,ph,1,75.3,12,6.27500
ngandtkpf15166,PF15166,2,30,1,ph,1,237.6,30,7.92000
anhtdph05679,PH05679,2,26,1,ph,1,298.2,33,9.03636
haltph06472,PH06472,2,24,1,ph,1,295.8,42,7.04286
anhtnph06685,PH06685,2,24,1,ph,1,242.4,30,8.08000
phudvph06687,PH06687,2,24,14,ph,1,213.4,30,7.11333
longkcph06690,PH06690,2,24,1,ph,1,271.8,39,6.96923
hungnhph06693,PH06693,2,24,3,ph,1,150.7,22,6.85000
vinhdtph06696,PH06696,2,24,1,ph,1,249.6,30,8.32000
giangtmph06701,PH06701,2,24,3,ph,1,146.6,21,6.98095
thanhvdph06709,PH06709,1,24,1,ph,1,83.6,11,7.60000
vietntph06711,PH06711,2,24,3,ph,1,211.8,23,9.20870
trungntph06712,PH06712,2,24,3,ph,1,228.0,30,7.60000
longhph06713,PH06713,2,24,14,ph,1,137.3,22,6.24091
tuannqph06716,PH06716,2,24,3,ph,1,61.8,10,6.18000
anhphph06717,PH06717,2,24,1,ph,1,112.5,15,7.50000
annbph06722,PH06722,2,24,3,ph,1,192.4,28,6.87143
thucnnph06723,PH06723,2,24,14,ph,1,133.0,20,6.65000
