User_Login,User_Code,Up_To_Semester,Term_ID,Major_ID,Campus,Total_Fail
sonnhpf15001,PF15001,2,30,1,ph,0
manhntpf15005,PF15005,2,33,12,ph,1
duongpvpf15007,PF15007,2,33,12,ph,6
totndpf15013,PF15013,2,33,12,ph,2
khanhtdpf15019,PF15019,2,30,1,ph,0
thangdcpf15028,PF15028,2,30,1,ph,0
tacpdpf15029,PF15029,2,30,1,ph,0
namhhpf15030,PF15030,2,30,1,ph,0
huytvpf15031,PF15031,2,33,12,ph,2
phuongndpf15035,PF15035,2,33,12,ph,1
truongbdpf15046,PF15046,2,33,12,ph,6
quanndpf15050,PF15050,2,30,1,ph,4
manhtdpf15051,PF15051,2,33,12,ph,3
quangnhtpf15055,PF15055,2,30,1,ph,0
hungnkpf15057,PF15057,2,33,12,ph,7
tienlmpf15064,PF15064,2,33,12,ph,6
cuongdmpf15069,PF15069,2,33,12,ph,5
tholmpf15070,PF15070,2,33,12,ph,7
tiennnpf15083,PF15083,2,33,12,ph,4
hanhtpf15092,PF15092,2,33,12,ph,5
thanhncpf15093,PF15093,2,33,12,ph,6
duongnvpf15098,PF15098,2,30,1,ph,0
doctpf15102,PF15102,2,33,12,ph,1
anhltpf15104,PF15104,2,33,12,ph,6
vinhntpf15121,PF15121,2,33,12,ph,5
truongnxpf15127,PF15127,2,33,12,ph,6
cuongndpf15142,PF15142,2,30,1,ph,0
thangphpf15145,PF15145,2,33,12,ph,6
trungmqpf15149,PF15149,2,30,1,ph,0
hungnvpf15158,PF15158,2,33,12,ph,7
sonlhpf15165,PF15165,2,33,1,ph,6
ngandtkpf15166,PF15166,2,30,1,ph,0
anhtdph05679,PH05679,2,26,1,ph,0
haltph06472,PH06472,2,26,1,ph,2
anhtnph06685,PH06685,2,24,1,ph,0
phudvph06687,PH06687,2,24,14,ph,0
longkcph06690,PH06690,2,26,1,ph,2
hungnhph06693,PH06693,2,24,3,ph,3
vinhdtph06696,PH06696,2,24,1,ph,0
giangtmph06701,PH06701,2,26,3,ph,3
thanhvdph06709,PH06709,2,26,1,ph,6
vietntph06711,PH06711,2,24,3,ph,0
trungntph06712,PH06712,2,24,3,ph,0
longhph06713,PH06713,2,24,14,ph,3
tuannqph06716,PH06716,2,24,3,ph,7
anhphph06717,PH06717,2,24,1,ph,5
annbph06722,PH06722,2,24,3,ph,1
thucnnph06723,PH06723,2,26,14,ph,7
chidmph06725,PH06725,2,24,1,ph,2
haichph06727,PH06727,2,24,14,ph,0
duongtvph06728,PH06728,2,28,4,ph,1
dangvhph06729,PH06729,2,26,14,ph,1
dungdvph06730,PH06730,2,24,1,ph,0
congptph06736,PH06736,2,24,14,ph,2
hieumbmph06737,PH06737,2,24,1,ph,2
tuanhdph06738,PH06738,2,26,3,ph,1
tuyenmtph06741,PH06741,2,24,14,ph,0
ductvmph06742,PH06742,2,24,1,ph,0
vudmph06744,PH06744,2,26,3,ph,4
hieuttph06748,PH06748,2,24,1,ph,0
hoahtph06754,PH06754,2,26,3,ph,1
trungvdph06755,PH06755,2,24,1,ph,0
vanndph06757,PH06757,2,26,14,ph,7
tungpnph06758,PH06758,2,24,3,ph,0
thanhnkph06759,PH06759,2,24,1,ph,0
hoangnqph06760,PH06760,2,24,1,ph,2
haitgph06761,PH06761,2,24,14,ph,0
hantph06762,PH06762,2,26,3,ph,1
thanhtvph06767,PH06767,2,28,4,ph,10
locpxph06771,PH06771,2,24,1,ph,0
tuanlmph06772,PH06772,2,26,1,ph,1
tiennvph06776,PH06776,2,24,14,ph,0
nguyenltph06778,PH06778,2,24,14,ph,0
vienbqph06781,PH06781,2,24,14,ph,0
lultph06782,PH06782,2,26,14,ph,1
vuldph06783,PH06783,2,24,1,ph,0
namntph06789,PH06789,2,26,1,ph,9
thaontph06790,PH06790,2,24,14,ph,0
namntph06792,PH06792,2,24,14,ph,0
hanhmqph06800,PH06800,2,24,1,ph,1
