Student_Code,Status,Semester,Major_ID,Campus_Code,Term_ID
PH05679,HDI,2,1,ph,29
PH06685,HDI,3,1,ph,29
PH06687,HDI,3,14,ph,29
PH06690,HDI,3,1,ph,29
PH06693,HDI,3,3,ph,29
PH06696,HDI,3,1,ph,29
PH06701,HDI,3,3,ph,29
PH06709,HDI,3,1,ph,29
PH06711,HDI,3,3,ph,29
PH06712,HDI,3,3,ph,29
PH06713,HDI,2,14,ph,29
PH06716,HDI,3,3,ph,29
PH06717,HDI,3,1,ph,29
PH06722,HDI,3,3,ph,29
PH06723,TN2,2,14,ph,29
PH06725,HDI,3,1,ph,29
PH06727,HDI,3,14,ph,29
PH06728,HDI,3,1,ph,29
PH06729,HDI,3,14,ph,29
PH06730,HDI,3,1,ph,29
PH06736,HDI,3,14,ph,29
PH06737,HDI,3,1,ph,29
PH06738,HDI,3,3,ph,29
PH06741,HDI,3,14,ph,29
PH06742,HDI,3,1,ph,29
PH06744,HDI,3,3,ph,29
PH06748,HDI,3,1,ph,29
PH06754,HDI,3,3,ph,29
PH06755,HDI,3,1,ph,29
PH06758,HDI,3,3,ph,29
PH06759,HDI,3,1,ph,29
PH06760,HDI,3,1,ph,29
PH06761,HDI,3,14,ph,29
PH06762,HDI,3,3,ph,29
PH06767,HDI,3,1,ph,29
PH06771,HDI,3,1,ph,29
PH06772,HDI,3,1,ph,29
PH06776,HDI,3,14,ph,29
PH06778,HDI,3,14,ph,29
PH06781,HDI,3,14,ph,29
PH06782,HDI,3,14,ph,29
PH06783,HDI,3,1,ph,29
PH06790,HDI,3,14,ph,29
PH06792,HDI,3,14,ph,29
PH06800,HDI,3,1,ph,29
PH06806,HDI,3,3,ph,29
PH06823,HDI,3,1,ph,29
PH06825,HDI,3,14,ph,29
PH06828,HDI,3,1,ph,29
PH06829,HDI,3,1,ph,29
PH06832,HDI,3,1,ph,29
PH06835,HDI,3,3,ph,29
PH06840,HDI,3,14,ph,29
PH06842,HDI,3,3,ph,29
PH06847,HDI,3,14,ph,29
PH06848,HDI,3,14,ph,29
PH06850,HDI,3,14,ph,29
PH06854,HDI,3,1,ph,29
PH06858,HDI,3,3,ph,29
PH06860,HDI,3,3,ph,29
PH06861,HDI,3,1,ph,29
PH06862,HDI,3,1,ph,29
PH06865,HDI,3,14,ph,29
PH06869,HDI,3,14,ph,29
PH06871,HDI,3,14,ph,29
PH06876,HDI,3,3,ph,29
PH06879,HDI,3,1,ph,29
PH06881,HDI,3,1,ph,29
PH06883,HDI,3,1,ph,29
PH06889,HDI,3,1,ph,29
PH06890,HDI,3,1,ph,29
PH06891,HDI,3,1,ph,29
PH06897,HDI,3,1,ph,29
PH06901,HDI,3,3,ph,29
PH06906,HDI,3,1,ph,29
PH06911,HDI,3,3,ph,29
